Word,Frequency
finish,2749
finished,1971
finishing,1335
firework,97
firm,223
firmly,210
fit,845
fitness,1409
fixture,782
flag,370
flamboyant,72
flat,207
flatter,31
flavio,77
flawless,170
fleeting,10
flick,235
flight,451
flinging,9
flooded,55
floundering,1
flourishing,24
flow,173
flowering,1
floyd,75
flurry,116
flying,228
focus,2162
focused,864
focussed,44
follow,516
followed,2385
following,5601
follows,408
food,156
foot,1189
football,4815
footballer,583
footed,2
footstep,131
foray,35
forbes,44
force,1118
forced,849
forcing,222
forehand,481
foreign,766
foreigner,71
form,2978
format,2242
formation,47
formidable,1810
forover,2
forth,97
fortitude,117
forward,2755
fought,1096
foul,174
foundation,464
fourth,3719
fowler,28
fox,314
frame,114
france,1397
franchise,2083
frankfurt,108
fred,53
free,715
french,2858
frenzy,51
friday,2438
friend,1116
friendship,227
fromaiff,1
frustrate,9
frustrated,251
frustration,645
fuel,85
fueled,110
fulfilled,66
fully,558
fun,596
funny,157
fury,175
futile,18
future,3047
gagan,122
gaikwad,633
gained,549
gaining,171
gambhir,2787
game,28549
gameplay,96
gandhi,482
ganguly,522
gap,706
garaga,24
garden,808
garros,935
gary,201
gassama,1
gathered,160
gathering,94
gaurav,70
gautam,1177
gave,1996
gayatri,969
gayle,195
gear,355
gearing,270
gemke,51
genius,66
genuine,127
geopolitical,6
george,701
gerald,94
german,743
gesture,366
getting,2420
giant,1510
gifs,1
gill,1649
ginting,113
girl,1605
girona,88
given,2328
giving,1459
glad,222
glam,9
glass,61
glenn,283
glimmer,55
glimpse,525
glitzy,1
global,1084
globally,236
glory,488
glove,138
glover,4
goal,6378
goalkeeper,1536
god,361
gogoi,39
goh,99
going,6409
gold,3967
golden,493
golf,1559
golfer,487
gomez,46
gone,1007
good,7851
googly,69
gopal,64
gopichand,976
gordon,60
gosh,44
got,6218
governance,215
governing,474
goyal,34
goyary,2
gradually,216
grand,3025
grant,327
grass,563
great,4947
greater,432
greatest,1486
greece,105
greek,184
green,1637
greener,9
greeting,49
griezmann,25
grigor,53
grimley,12
grin,57
grinning,13
gripping,119
grit,209
groin,100
groomed,44
groove,62
ground,2105
grounder,2
group,6491
growing,696
grown,191
gruelling,118
gt,833
gu,119
guang,39
guangzu,16
guard,242
guardiola,131
guerreiro,9
guess,258
guided,273
gujarat,1009
gundogan,35
gunpoint,26
gupta,212
gurbaz,167
gust,41
gutta,32
guwahati,515
guy,2017
gvardiol,11
gwgwmsar,1
haaland,147
hai,1811
hailing,76
half,2019
halfway,157
hallmark,52
halted,150
han,274
hand,2853
handed,479
handle,716
handling,198
hang,178
hangargekar,19
hanging,155
hangzhou,412
hao,38
haphazard,4
happend,1
happened,1081
happening,378
happens,565
happy,2698
haq,49
hard,2940
hardik,2669
hardly,195
harendra,209
harmanpreet,1499
harpreet,49
harry,525
harsha,39
harshal,121
harshit,327
harshitaa,92
haryana,795
hasan,848
hasaranga,160
hashioka,1
hastening,2
hat,154
haul,463
hayward,141
hd,278
head,5529
headed,231
header,357
heading,353
health,812
healthy,205
heard,489
heart,911
heartbreaking,247
heartfelt,355
heat,497
heaved,8
heavily,374
heavy,452
hectic,48
hefty,96
height,426
heightened,46
heinrich,323
held,3932
helm,135
help,2282
helped,1744
hemanth,78
hernandez,70
hernia,2
hero,624
heroic,192
hetmyer,96
hi,614
hiatus,257
high,2798
higher,619
highest,2004
highlander,65
highlight,1741
highlighted,1289
highlighting,820
highly,1017
hilariously,38
himachal,390
himanshu,49
hinge,105
hint,158
hip,276
historic,1548
historically,94
history,3872
hit,3552
hitter,113
hitting,1192
hmar,1
hockey,3611
hojgaard,74
hold,2397
holding,764
hole,1433
holger,106
homa,247
home,5653
honest,341
honestly,160
honor,428
honorary,68
hooda,487
hope,3167
hopefully,746
hoping,492
hopped,6
horizon,80
horn,71
horrific,83
hosein,34
hosh,2
host,2820
hostility,28
hosting,465
hot,276
hotspur,109
hour,1696
hourigan,11
house,630
hovland,46
howe,10
hrithik,21
huge,1174
human,301
humbert,27
humiliation,13
humorous,77
humour,62
humourous,7
hunger,176
hungry,215
hunt,125
hurdle,280
hussain,146
hyderabad,2362
hylo,52
hyped,42
hyuk,16
ians,203
iba,1017
icc,3721
icon,658
iconic,1123
idol,76
iglesias,74
ii,37
ilkay,23
illustrious,555
imad,279
image,2609
immediate,372
immediately,671
immense,751
impact,2323
impactful,161
impeccable,85
importance,1146
important,2269
impress,98
impressed,409
impressing,37
impression,187
impressive,4050
improve,1114
improved,485
improvement,606
improving,214
inability,238
inaugural,669
inch,205
incident,1527
incidentally,58
inclement,63
include,704
included,1444
includes,1143
including,5262
inclusion,522
incorporated,18
increase,431
india,36999
indian,24181
indicate,175
indicating,248
indie,2260
indira,35
individual,1905
indonesia,1474
indonesian,336
inexperienced,101
influence,547
information,340
initial,732
initially,1124
injects,3
injured,659
injures,15
injury,5186
inn,60
inning,5032
input,3582
inside,1222
insight,545
inspiration,361
inspired,394
instagram,999
instance,390
instead,821
instilled,83
instinct,161
instrumental,590
insurmountable,40
integral,115
intelligent,98
intense,1271
intensely,16
intensified,177
intensifies,25
intensify,38
intensifying,68
intensity,317
inter,468
interacting,24
interaction,476
interesting,717
interfering,41
internal,142
international,8564
internet,199
interrupted,157
interval,155
intervened,71
interview,1593
intriguing,269
introduced,352
investment,355
invitation,75
invited,143
involved,1114
ioa,396
ioc,1108
ipl,29505
iran,133
ironically,17
irrelevant,27
isak,39
ishan,268
ishant,153
isharani,273
isilye,15
isko,37
isl,791
island,200
israel,155
israeli,41
issue,2142
issued,296
ist,4235
italian,1023
itna,16
iyer,990
jack,597
jadeja,1408
jagadeesan,26
jahouh,46
jaipur,931
jaiswal,1128
jaitley,408
jake,451
jakobshalle,1
james,454
jamieson,14
janata,35
janneke,5
jannik,704
jansen,135
january,836
japan,1588
japanese,609
jas,24
jason,499
jasprit,1269
jayant,23
jaydev,68
jean,122
jeremy,120
jersey,643
jhathavedh,28
jhye,55
jia,317
jin,183
jinx,44
jio,69
jitesh,137
jithin,46
joao,45
job,1513
jofra,99
johnson,594
join,1245
joined,1249
joining,768
joint,649
joked,80
jolly,709
jolt,29
jon,123
jonatan,55
jongte,1
jonny,141
joo,19
jordan,660
jos,308
jose,194
joseph,262
josh,378
joshua,477
journey,2677
jovial,8
joy,519
joyous,53
judge,276
judicious,15
juggernaut,64
